Employee_ID,Age,Gender,Department,Experience_Years,Performance_Score,Salary
49,49,0,4,5.6,67.8,33013
49,49,0,4,5.6,67.8,33013
50,29,0,5,10.7,68.8,72180
4,30,0,4,9.8,,65750
61,58,1,5,11.5,72.8,74830
57,46,0,5,2.3,73.6,25481
41,56,1,5,9.7,85.5,72051
79,24,0,2,6.5,80.1,45430
11,22,0,5,3.3,70.7,37906
49,33,0,3,6.0,65.3,45616
55,49,0,4,7.5,,53311
10,36,0,1,4.6,64.4,38576
71,27,1,5,10.6,66.7,58485
14,56,0,5,6.3,74.1,45674
89,54,1,2,12.6,83.7,83020
92,59,0,3,10.4,57.8,63726
65,55,0,0,4.5,63.1,32165
29,48,1,5,,74.9,23299
91,31,0,1,7.3,77.4,47076
40,47,1,3,9.0,71.3,62767
13,56,1,5,5.2,63.3,32226
90,31,0,0,8.7,79.4,62705
25,29,1,4,8.7,64.2,49196
35,47,1,1,7.1,78.5,46085
51,24,1,5,8.9,61.0,58172
74,40,1,2,3.7,72.7,39050
37,26,1,2,7.6,74.4,56560
60,26,1,5,,37.6,49109
88,50,0,4,9.9,66.8,68305
78,36,1,0,3.4,62.5,22332
46,56,0,4,8.2,54.3,43800
73,53,1,3,4.3,,39064
72,32,0,1,5.2,71.2,45765
84,35,0,2,1.0,65.1,23265
39,54,0,4,9.9,63.0,54525
81,49,1,3,7.2,71.0,59270
18,22,0,0,7.4,59.6,51174
58,26,1,2,9.1,90.8,58842
38,33,1,3,9.9,59.4,57743
17,54,0,1,2.4,68.8,29528
66,33,0,2,4.8,74.3,48502
64,53,0,5,4.5,73.7,42929
85,30,0,0,8.9,68.9,56583
36,30,0,2,7.7,56.9,60442
33,43,0,0,3.5,76.5,37819
98,50,0,0,,77.5,106143
87,52,0,1,8.7,79.2,67984
23,25,0,2,9.8,83.8,73791
26,53,1,0,6.5,85.3,42026
27,24,1,3,8.0,60.9,51536
59,43,0,4,2.5,85.4,29223
82,47,0,5,5.5,60.6,32131
7,36,1,5,2.5,57.1,27381
62,35,0,2,9.7,81.6,60697
31,33,0,0,5.7,71.2,42358
1,45,1,5,6.2,62.4,49544
22,39,1,3,8.6,,57779
34,36,1,1,8.7,65.2,66987
76,47,0,1,7.4,68.3,53512
12,49,0,2,10.0,59.2,59270
83,41,0,1,12.6,81.8,84888
16,32,1,5,2.1,74.9,28543
30,57,1,0,3.8,67.5,43012
43,34,0,1,7.2,62.9,49495
20,30,1,0,5.5,88.4,57081
3,42,1,1,13.5,85.9,87004
53,36,1,0,6.9,66.9,45879
69,26,0,2,5.0,68.4,39805
6,55,1,0,12.5,71.6,76748
2,48,1,4,5.2,53.9,43702
24,43,1,5,8.4,95.3,66624
42,53,1,4,6.5,74.1,48250
0,42,1,3,3.7,68.7,25425
86,45,1,4,6.0,69.8,40376
54,44,0,2,9.5,71.4,57664
67,26,0,5,1.9,85.3,22595
44,33,1,3,10.3,64.0,66357
94,22,1,5,6.7,66.4,50223
68,51,0,2,7.3,67.8,56146
48,31,1,5,7.7,79.4,50560
95,30,1,3,7.9,59.4,49518
93,47,0,1,11.2,59.7,53259
97,45,1,4,5.0,74.0,38899
56,54,0,1,5.4,82.1,48402
52,32,0,3,,70.2,56189
19,26,0,2,9.3,66.5,56536
80,36,1,1,7.9,72.2,66434
100,40,0,2,9.1,73.5,60994
77,51,1,3,6.1,55.0,39742
70,31,1,1,2.1,67.9,25855
5,41,1,4,6.2,72.9,47896
21,41,1,1,,70.4,63991
47,38,1,1,6.0,75.4,45017
75,33,1,1,3.5,71.2,36536
96,59,1,4,,78.4,66937
8,45,0,3,5.4,63.6,47090
28,45,0,1,11.5,63.5,70729
9,47,0,2,5.5,74.6,49078
45,42,0,3,4.5,48.8,33091
32,43,1,1,7.9,67.5,60666
63,25,0,5,11.2,58.4,60375
15,47,0,4,5.3,54.9,48155
99,47,0,4,10.6,86.6,66988
