Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday,Coffee Type_Latte
False,False,True,False,False,False,False
False,False,False,False,False,True,True
False,False,False,False,False,False,False
False,False,False,False,True,False,False
True,False,False,False,False,False,True
False,False,True,False,False,False,True
False,False,False,False,False,True,False
False,False,False,True,False,False,True
False,True,False,False,False,False,False
False,False,False,False,True,False,True
False,False,False,True,False,False,False
